file_name,bridge_angle,dlman,Fr_ini,plates,cubes,logs,Q[dm],batch,H_up,H_down,H_up_corr,H_down_corr,pic_side,pic_top,dh,dh_d0,rel_BW,carpet_length_avg,carpet_length_max,exp_id,volume
dried debris,45,0.0186046261988786,0.55,0.25,0,0.75,18.6,1.0,138,13.7,132,82.99999999999999,685,331,49.000000000000014,0.38219895287958117,,,,1,1.06
,45,0.0186046261988786,0.55,0.25,0,0.75,18.6,2.0,153,13.6,147,82,686,332,65,0.5392670157068062,,,,1,2.12
,45,0.0186046261988786,0.55,0.25,0,0.75,18.6,3.0,157,13.6,151,82,687,333,69,0.581151832460733,,,,1,3.18
,45,0.0186046261988786,0.55,0.25,0,0.75,18.6,4.0,161,13.6,155,82,688,334,73,0.6230366492146597,0.6230366492146597,?,?,1,4.24
N3_R_2P_F0.55_h0.9_0P25C75L_0HR_R1_4L_0HW_45Deg,45,0.0186046261988786,0.55,0,0.25,0.75,18.6,0.0,101,14.2,95,87.99999999999999,,,7.000000000000014,0.0,,,,2,0
dried debris,45,0.0186046261988786,0.55,0,0.25,0.75,18.6,1.0,142,13.7,136,82.99999999999999,689,335,53.000000000000014,0.43157894736842106,,,,2,1.06
,45,0.0186046261988786,0.55,0,0.25,0.75,18.6,2.0,150,13.5,144,81,690,336,63,0.5157894736842106,,,,2,2.12
,45,0.0186046261988786,0.55,0,0.25,0.75,18.6,3.0,152,13.5,146,81,692,337,65,0.5368421052631579,,,,2,3.18
,45,0.0186046261988786,0.55,0,0.25,0.75,18.6,4.0,154,13.5,148,81,693,339,67,0.5578947368421052,0.5578947368421052,60,90,2,4.24
N3_R_2P_F0.55_h0.9_25P0C75L_0HR_R1_4L_0HW_45Deg,45,0.0186046261988786,0.55,0.25,0,0.75,18.6,0.0,101,14.2,95,87.99999999999999,,,7.000000000000014,0.0,,,,3,0
dried debris,45,0.0186046261988786,0.55,0.25,0,0.75,18.6,1.0,126,14,120,86,694,340,34,0.2631578947368421,,,,3,1.06
,45,0.0186046261988786,0.55,0.25,0,0.75,18.6,2.0,136,14,130,86,695,341,44,0.3684210526315789,,,,3,2.12
,45,0.0186046261988786,0.55,0.25,0,0.75,18.6,3.0,163,13.7,157,82.99999999999999,696,342,74.00000000000001,0.6526315789473685,,,,3,3.18
,45,0.0186046261988786,0.55,0.25,0,0.75,18.6,4.0,166,13.7,160,82.99999999999999,697,343,77.00000000000001,0.6842105263157895,0.6842105263157895,65,95,3,4.24
N3_R_2P_F0.55_h0.9_0P25C75L_0HR_R1_4L_0HW_45Deg,45,0.0186046261988786,0.55,0,0.25,0.75,18.6,0.0,101,14.2,95,87.99999999999999,,,7.000000000000014,0.0,,,,4,0
dried debris,45,0.0186046261988786,0.55,0,0.25,0.75,18.6,1.0,139,13.8,133,84,699,345,49,0.4,,,,4,1.06
,45,0.0186046261988786,0.55,0,0.25,0.75,18.6,2.0,150,13.8,144,84,700,346,60,0.5157894736842106,,,,4,2.12
,45,0.0186046261988786,0.55,0,0.25,0.75,18.6,3.0,157,14.2,151,87.99999999999999,701,347,63.000000000000014,0.5894736842105263,,,,4,3.18
,45,0.0186046261988786,0.55,0,0.25,0.75,18.6,4.0,158,14.2,152,87.99999999999999,702,348,64.00000000000001,0.6,0.6,70,90,4,4.24
N3_R_2P_F0.55_h0.9_0P0C100L_0HR_R1_4L_0HW_45Deg,45,0.0186046261988786,0.55,0,0,1,18.6,0.0,101,14.1,95,87,,,8,0.0,,,,5,0
dried debris,45,0.0186046261988786,0.55,0,0,1,18.6,1.0,116,14,110,86,703,349,24,0.15789473684210525,,,,5,1.06
,45,0.0186046261988786,0.55,0,0,1,18.6,2.0,145,13.9,139,85,704,350,54,0.4631578947368421,,,,5,2.12
,45,0.0186046261988786,0.55,0,0,1,18.6,3.0,158,13.9,152,85,705,351,67,0.6,,,,5,3.18
,45,0.0186046261988786,0.55,0,0,1,18.6,4.0,158,13.9,152,85,706,352,67,0.6,0.6,65,90,5,4.24
N3_R_2P_F0.48_h0.9_25P0C75L_0HR_R1_4L_0HW_45Deg,45,0.016236764682657685,0.48,0.25,0,0.75,16.2,0.0,101,14.2,95,87.99999999999999,,,7.000000000000014,0.0,,,,6,0
dried debris,45,0.016236764682657685,0.48,0.25,0,0.75,16.2,1.0,124,14.2,118,87.99999999999999,707,353,30.000000000000014,0.24210526315789474,,,,6,1.06
,45,0.016236764682657685,0.48,0.25,0,0.75,16.2,2.0,153,14.2,147,87.99999999999999,708,354,59.000000000000014,0.5473684210526316,,,,6,2.12
,45,0.016236764682657685,0.48,0.25,0,0.75,16.2,3.0,153,14.2,147,87.99999999999999,709,355,59.000000000000014,0.5473684210526316,,,,6,3.18
,45,0.016236764682657685,0.48,0.25,0,0.75,16.2,4.0,155,14.2,149,87.99999999999999,710,356,61.000000000000014,0.5684210526315789,0.5684210526315789,85,95,6,4.24
N3_R_2P_F0.48_h0.9_0P25C75L_0HR_R1_4L_0HW_45Deg,45,0.016236764682657685,0.48,0,0.25,0.75,16.2,0.0,101,14.2,95,87.99999999999999,,,7.000000000000014,0.0,,,,7,0
dried debris,45,0.016236764682657685,0.48,0,0.25,0.75,16.2,1.0,122,14.2,116,87.99999999999999,712,357,28.000000000000014,0.22105263157894736,,,,7,1.06
,45,0.016236764682657685,0.48,0,0.25,0.75,16.2,2.0,126,14.2,120,87.99999999999999,713,358,32.000000000000014,0.2631578947368421,,,,7,2.12
,45,0.016236764682657685,0.48,0,0.25,0.75,16.2,3.0,149,14.2,143,87.99999999999999,714,359,55.000000000000014,0.5052631578947369,,,,7,3.18
,45,0.016236764682657685,0.48,0,0.25,0.75,16.2,4.0,149,14.2,143,87.99999999999999,715,360,55.000000000000014,0.5052631578947369,0.5052631578947369,82,111,7,4.24
N3_R_2P_F0.4_h0.9_25P0C75L_0HR_R1_4L_0HW_45Deg,45,0.013530637235548072,0.4,0.25,0,0.75,13.5,0.0,97,14.3,91,89,,,2,0.0,,,,8,0
dried debris,45,0.013530637235548072,0.4,0.25,0,0.75,13.5,1.0,106,14.2,100,87.99999999999999,716,361,12.000000000000014,0.0989010989010989,,,,8,1.06
,45,0.013530637235548072,0.4,0.25,0,0.75,13.5,2.0,111,14.2,105,87.99999999999999,717,362,17.000000000000014,0.15384615384615385,,,,8,2.12
,45,0.013530637235548072,0.4,0.25,0,0.75,13.5,3.0,122,14,116,86,718,363,30,0.27472527472527475,,,,8,3.18
,45,0.013530637235548072,0.4,0.25,0,0.75,13.5,4.0,134,13.9,128,85,719,364,43,0.4065934065934066,0.4065934065934066,52,62,8,4.24
N3_R_2P_F0.4_h0.9_0P25C75L_0HR_R1_4L_0HW_45Deg,45,0.013530637235548072,0.4,0,0.25,0.75,13.5,0.0,97,14.3,91,89,,,2,0.0,,,,9,0
dried debris,45,0.013530637235548072,0.4,0,0.25,0.75,13.5,1.0,112,14.2,106,87.99999999999999,720,365,18.000000000000014,0.16483516483516483,,,,9,1.06
,45,0.013530637235548072,0.4,0,0.25,0.75,13.5,2.0,122,14.2,116,87.99999999999999,721,366,28.000000000000014,0.27472527472527475,,,,9,2.12
,45,0.013530637235548072,0.4,0,0.25,0.75,13.5,3.0,126,14.2,120,87.99999999999999,722,367,32.000000000000014,0.31868131868131866,,,,9,3.18
,45,0.013530637235548072,0.4,0,0.25,0.75,13.5,4.0,129,14.2,123,87.99999999999999,723,368,35.000000000000014,0.3516483516483517,0.3516483516483517,60,65,9,4.24
N3_R_2P_F0.4_h0.9_25P0C75L_0HR_R1_4L_0HW_45Deg,45,0.013530637235548072,0.4,0.25,0,0.75,13.5,0.0,97,14.3,91,89,,,2,0.0,,,,10,0
dried debris,45,0.013530637235548072,0.4,0.25,0,0.75,13.5,1.0,104,14.2,98,87.99999999999999,724,369,10.000000000000014,0.07692307692307693,,,,10,1.06
,45,0.013530637235548072,0.4,0.25,0,0.75,13.5,2.0,118,14,112,86,725,370,26,0.23076923076923078,,,,10,2.12
,45,0.013530637235548072,0.4,0.25,0,0.75,13.5,3.0,131,14,125,86,726,371,39,0.37362637362637363,,,,10,3.18
,45,0.013530637235548072,0.4,0.25,0,0.75,13.5,4.0,135,13.9,129,85,727,372,44,0.4175824175824176,0.4175824175824176,65,82,10,4.24
