file_name,bridge_angle,Fr,Fr_ini,plates,cubes,logs,Q[dm],H_up,H_down,H_up_corr,H_down_corr,pic_side,pic_top,dh,dh_d0,rel_BW,carpet_length_avg,carpet_length_max,exp_id,volume
N2_R_2P_F055_h09_25C75L_0HR_R1_4L_225degree,22.5,0.0186046261988786,0.55,0.25,0,0.75,18.6,100,14.3,94,89,,,5,0.05555555555555555,,,,1,0
dried debris,22.5,0.0186046261988786,0.55,0.25,0,0.75,18.6,135,14.1,129,87,,71,42,0.4666666666666667,,,,1,19
,22.5,0.0186046261988786,0.55,0.25,0,0.75,18.6,142.5,14.1,136.5,87,161,72,49.5,0.55,,,,1,38
,22.5,0.0186046261988786,0.55,0.25,0,0.75,18.6,145.5,14.1,139.5,87,163,73,52.5,0.5833333333333334,,,,1,57
,22.5,0.0186046261988786,0.55,0.25,0,0.75,18.6,148,14,142,86,167,74,56,0.6222222222222222,0.5106382978723404,73,86,1,76
"N3_R_2P_F0,55_h0,9_0P25C75L_0HR_R1_4L_0HW_22,5Deg",22.5,0.0186046261988786,0.55,0,0.25,0.75,18.6,100,14.3,94,89,,,5,0.05555555555555555,,,,2,0
dried debris,22.5,0.0186046261988786,0.55,0,0.25,0.75,18.6,106,14.3,100,89,171,75,11,0.12222222222222222,,,,2,19
,22.5,0.0186046261988786,0.55,0,0.25,0.75,18.6,138,14.15,132,87.5,173,76,44.5,0.49444444444444446,,,,2,38
,22.5,0.0186046261988786,0.55,0,0.25,0.75,18.6,142,14.15,136,87.5,175,77,48.5,0.5388888888888889,,,,2,57
,22.5,0.0186046261988786,0.55,0,0.25,0.75,18.6,147,14.1,141,87,177,78,54,0.6,0.5,65,54,2,76
"N3_R_2P_F0,55_h0,9_0P25C75L_0HR_R1_4L_0HW_22,5Deg",22.5,0.0186046261988786,0.55,0,0.25,0.75,18.6,100,14.3,94,89,,,5,0.05555555555555555,,,,3,0
dried debris,22.5,0.0186046261988786,0.55,0,0.25,0.75,18.6,117,14.2,111,87.99999999999999,179,79,23.000000000000014,0.2555555555555557,,,,3,19
,22.5,0.0186046261988786,0.55,0,0.25,0.75,18.6,132,13.9,126,85,181,80,41,0.45555555555555555,,,,3,38
,22.5,0.0186046261988786,0.55,0,0.25,0.75,18.6,136,13.9,130,85,183,81,45,0.5,,,,3,57
,22.5,0.0186046261988786,0.55,0,0.25,0.75,18.6,146,13.9,140,85,185,82,55,0.6111111111111112,0.48936170212765956,68,63,3,76
"N3_R_2P_F0,55_h0,9_0P0C75L_0HR_R1_4L_0HW_22,5Deg",22.5,0.0186046261988786,0.55,0,0,1,18.6,100,14.3,94,89,,,5,0.05555555555555555,,,,4,0
dried debris,22.5,0.0186046261988786,0.55,0,0,1,18.6,155,14.3,149,89,187,84,60,0.6666666666666666,,,,4,19
,22.5,0.0186046261988786,0.55,0,0,1,18.6,128,14.2,122,87.99999999999999,189,85,34.000000000000014,0.37777777777777793,,,,4,38
,22.5,0.0186046261988786,0.55,0,0,1,18.6,133,14.2,127,87.99999999999999,191,86,39.000000000000014,0.4333333333333335,,,,4,57
,22.5,0.0186046261988786,0.55,0,0,1,18.6,145,14.2,139,87.99999999999999,193,87,51.000000000000014,0.5666666666666669,0.4787234042553192,42,56,4,76
"N3_R_2P_F0,55_h0,9_0P0C75L_0HR_R1_4L_0HW_22,5Deg",22.5,0.0186046261988786,0.55,0,0,1,18.6,100,14.3,94,89,,,5,0.05555555555555555,,,,5,0
dried debris,22.5,0.0186046261988786,0.55,0,0,1,18.6,118.5,14.3,112.5,89,195,88,23.5,0.2611111111111111,,,,5,19
,22.5,0.0186046261988786,0.55,0,0,1,18.6,136,14.2,130,87.99999999999999,197,89,42.000000000000014,0.46666666666666684,,,,5,38
,22.5,0.0186046261988786,0.55,0,0,1,18.6,139,14.2,133,87.99999999999999,199,90,45.000000000000014,0.5000000000000001,,,,5,57
,22.5,0.0186046261988786,0.55,0,0,1,18.6,140,14.2,134,87.99999999999999,201,91,46.000000000000014,0.5111111111111113,0.425531914893617,48,61,5,76
"N3_R_2P_F0,55_h0,9_0P0C75L_0HR_R1_4L_0HW_22,5Deg",22.5,0.0186046261988786,0.55,0.25,0,0.75,18.6,100,14.3,94,89,,,5,0.05555555555555555,,,,6,0
dried debris,22.5,0.0186046261988786,0.55,0.25,0,0.75,18.6,109,14.2,103,87.99999999999999,203,92,15.000000000000014,0.16666666666666682,,,,6,19
,22.5,0.0186046261988786,0.55,0.25,0,0.75,18.6,139,14,133,86,205,93,47,0.5222222222222223,,,,6,38
,22.5,0.0186046261988786,0.55,0.25,0,0.75,18.6,141,13.9,135,85,207,94,50,0.5555555555555556,,,,6,57
,22.5,0.0186046261988786,0.55,0.25,0,0.75,18.6,143,13.9,137,85,209,95,52,0.5777777777777777,0.4574468085106383,56,72,6,76
"N3_R_2P_F0,55_h0,9_0P0C75L_0HR_R1_4L_0HW_22,5Deg",22.5,0.0186046261988786,0.55,0,0.25,0.75,18.6,100,14.3,94,89,,,5,0.05555555555555555,,,,7,0
dried debris,22.5,0.0186046261988786,0.55,0,0.25,0.75,18.6,122,14.2,116,87.99999999999999,211,96,28.000000000000014,0.3111111111111113,,,,7,19
,22.5,0.0186046261988786,0.55,0,0.25,0.75,18.6,129,14,123,86,213,97,37,0.4111111111111111,,,,7,38
,22.5,0.0186046261988786,0.55,0,0.25,0.75,18.6,136,13.9,130,85,215,98,45,0.5,,,,7,57
,22.5,0.0186046261988786,0.55,0,0.25,0.75,18.6,147,13.9,141,85,217,99,56,0.6222222222222222,0.5,50,71,7,76
"N3_R_2P_F0,55_h0,9_0P0C75L_0HR_R1_4L_0HW_22,5Deg",22.5,0.0186046261988786,0.55,0,0,1,18.6,100,14.3,94,89,,,5,0.05555555555555555,,,,8,0
dried debris,22.5,0.0186046261988786,0.55,0,0,1,18.6,116,14.2,110,87.99999999999999,219,100,22.000000000000014,0.2444444444444446,,,,8,19
,22.5,0.0186046261988786,0.55,0,0,1,18.6,124,14.2,118,87.99999999999999,221,101,30.000000000000014,0.3333333333333335,,,,8,38
,22.5,0.0186046261988786,0.55,0,0,1,18.6,131,14.1,125,87,223,102,38,0.4222222222222222,,,,8,57
,22.5,0.0186046261988786,0.55,0,0,1,18.6,136,14.1,130,87,225,103,43,0.4777777777777778,0.3829787234042553,48,82,8,76
N2_R_2P_F040_h09_25P75L_0HR_R1_4L_225degree,22.5,0.013530637235548072,0.4,0.25,0,0.75,13.5,97,14.3,91,89,,,2,0.022222222222222223,,,,9,0
dried debris,22.5,0.013530637235548072,0.4,0.25,0,0.75,13.5,110,14.2,104,87.99999999999999,229,104,16.000000000000014,0.17777777777777792,,,,9,19
,22.5,0.013530637235548072,0.4,0.25,0,0.75,13.5,118.5,14.3,112.5,89,231,105,23.5,0.2611111111111111,,,,9,38
,22.5,0.013530637235548072,0.4,0.25,0,0.75,13.5,120,14.3,114,89,235,106,25,0.2777777777777778,,,,9,57
,22.5,0.013530637235548072,0.4,0.25,0,0.75,13.5,121,14.3,115,89,237,107,26,0.28888888888888886,0.26373626373626374,48,82,9,76
N2_R_2P_F040_h09_25C75L_0HR_R1_4L_225degree,22.5,0.013530637235548072,0.4,0,0.25,0.75,13.5,97,14.3,91,89,,,2,0.022222222222222223,,,,10,0
