pic_number,exp_id,volume
34910,1,0
34918,1,0
34926,1,0
34934,1,0
35230,1,"1.06"
35231,1,"1.06"
35232,1,"1.06"
35233,1,"1.06"
35234,1,"1.06"
35243,1,"1.06"
35283,1,"1.06"
35379,1,"1.06"
35443,1,"2.12"
35444,1,"2.12"
35445,1,"2.12"
35680,1,"2.12"
35794,1,"3.18"
35827,1,"3.18"
35860,1,"3.18"
35893,1,"3.18"
35911,1,"4.24"
35912,1,"4.24"
35913,1,"4.24"
35914,1,"4.24"
35934,1,"4.24"
24475,2,"1.06"
24476,2,"1.06"
24488,2,"1.06"
24547,2,"1.06"
24648,2,"2.12"
24649,2,"2.12"
24683,2,"2.12"
24723,2,"2.12"
24728,2,"3.18"
24780,2,"3.18"
24811,2,"3.18"
24841,2,"3.18"
24881,2,"4.24"
24882,2,"4.24"
24895,2,"4.24"
24908,2,"4.24"
