backbone,fusion,regressor,cv_mae_mean,cv_mae_std,cv_mse_mean,cv_mse_stc,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std
densenet121,concat,elasticnet,6.147815017195606,0.6555812155137815,62.870070393622484,12.551598972335126,7.892193953665242,0.7637702477527423,0.8601570732597434,0.030333009100710566
densenet121,concat_abs_diff,elasticnet,6.179155204712399,0.8317805637120691,61.38245411642222,14.962913274973664,7.781785182908699,0.9089958654938106,0.8632613949687045,0.03611348833772544
densenet121,concat_abs_diff,ridge,6.310708752788564,0.7246391850509424,64.1406074061583,15.85668735424079,7.954917641213756,0.9273040103787379,0.8571859556586545,0.038142284839790964
densenet121,concat,ridge,6.400276520946039,0.6621464710594512,66.38615899728191,15.312747552150842,8.095259808996456,0.9235408069644646,0.8523934049942705,0.036098712507580066
convnext_tiny,concat_abs_diff,ridge,6.644675373299412,0.36640730816212574,67.58176519219094,6.950247496356578,8.21053445454359,0.4109612669626176,0.8500253658520149,0.01603649597860788
densenet121,max,elasticnet,6.648489244047296,0.7452158364548536,73.5770110278594,19.457033655133728,8.513082425953721,1.0509227549050926,0.8360759664981083,0.04682127634262523
densenet121,max,ridge,6.671066800677588,0.6000720717632285,74.07603661232186,15.043030927583306,8.566747598218123,0.8287775339292591,0.8351340175674238,0.03674331040471164
convnext_tiny,mean,elasticnet,6.673196571592301,0.8427830798896498,65.9710890297462,13.394612302207946,8.079621836042417,0.8311438000085978,0.8537904545790269,0.029200040482075137
densenet121,mean,ridge,6.742739665319048,0.36975283922690894,73.3462957387538,12.749119904779851,8.53282433349313,0.7329424482872623,0.8369467851634596,0.030849831889371255
convnext_tiny,concat,ridge,6.7921043610951255,0.4576165420319331,67.65243264470726,8.430973708502759,8.209549537862381,0.5056965790776472,0.8498720784324074,0.019157319118902543
convnext_tiny,max,elasticnet,6.799073212436897,0.7303515768567183,71.38034955719638,13.658931925349265,8.407079099716503,0.8374786972253739,0.8419365314625675,0.02869222976103752
convnext_tiny,mean,ridge,6.80537091401519,0.7564433527841224,72.40495404493856,12.290194635938652,8.477959907527733,0.7274268700638463,0.8395351617413797,0.026559910623502072
convnext_tiny,max,ridge,6.858063360749098,0.7028767053445036,76.00060241649994,12.486861167445769,8.686807949911694,0.7348265495005852,0.8316452705502385,0.026145290123106447
convnext_tiny,concat_abs_diff,elasticnet,6.92408664713461,0.6966813285630594,77.91356815460533,11.648074621662706,8.802663968052304,0.6532038121130088,0.8271218991054912,0.02613284297842203
convnext_tiny,concat,elasticnet,6.964717281583755,0.6946541622139033,72.151018372607,13.75422995020537,8.457232501713737,0.7913512396930957,0.8399143895344447,0.030673609015666934
densenet121,mean,elasticnet,6.990481123041223,0.5858093860182054,79.81005912998346,21.10409020080495,8.861685597232434,1.13163046344056,0.82234962644206,0.050136185697845864
densenet121,mean,svr,7.356378701342716,0.5847397754790505,79.0211509575284,9.008127176231163,8.873846691798246,0.5253530698394383,0.8245898801951255,0.021223359013588173
resnet50,concat,elasticnet,7.371195511187196,0.7413727923848922,83.86118104177208,11.715191394992967,9.134418861974167,0.6508249348193518,0.8140598393079651,0.025348055431507407
resnet50,max,elasticnet,7.372297718512319,0.39261155517601587,85.87539772550763,9.931518512937341,9.250713442684368,0.5474472822530958,0.8096991906731107,0.020254441020148773
resnet50,concat_abs_diff,elasticnet,7.441425373541615,0.42486742225972507,86.79165966383621,10.139286887745445,9.300460620189574,0.5413796414154887,0.8077385296404642,0.020070039818922324
resnet50,max,ridge,7.4893377137562585,0.37433052056746396,84.3858332457065,11.101314195737368,9.166820424414363,0.5960172415678668,0.8129242634440267,0.023800557067571077
resnet50,mean,ridge,7.51861014310645,0.23974206327924802,85.52122568266975,10.026394911460228,9.232001516198626,0.5397904107855511,0.8103012032485728,0.022266946407858507
convnext_tiny,mean,svr,7.596976717580466,0.4683831479599929,82.55541398319077,5.938697418345932,9.080183360407508,0.32509094815047646,0.8169001774518037,0.012961357692400907
convnext_tiny,concat,svr,7.608258378284653,0.24932038770768009,82.32147278721732,3.81657351142848,9.070686998950377,0.21002417548921515,0.817442987837975,0.0076162139428364705
densenet121,max,svr,7.675945642002395,0.5509352483627403,84.68285574845052,8.747252437157112,9.190222142444247,0.4718821049563148,0.8119458432280773,0.021538318922185506
densenet121,mean,random_forest,7.743367566137567,0.6213414353982722,88.50279915077896,9.603108376205885,9.392542263752834,0.5319294825404599,0.8036562349944332,0.021638386347136204
resnet50,mean,elasticnet,7.756262697088656,0.6812726175079205,92.36007023353775,14.348392053014763,9.580891995515149,0.7527142909573841,0.7952374011548613,0.031132355705023526
densenet121,concat,svr,7.778759005532071,0.60111086361718,85.84390720985257,8.369844450449165,9.253553209769475,0.464392295174694,0.8095130882832728,0.019398575367769556
convnext_tiny,concat_abs_diff,svr,7.9742915630097455,0.30162785087615157,90.73990320354817,5.422534099718491,9.521455035069344,0.2860021305878907,0.7987994811506286,0.01093495791778716
convnext_tiny,max,svr,8.021838427178784,0.44899326274518164,90.936366962719,7.658703187890032,9.527222578623983,0.4103619135305077,0.7985264652799946,0.014275458332511409
densenet121,concat_abs_diff,svr,8.07082529807224,0.5446319983683475,91.63680003143854,8.044138760561221,9.563543989296049,0.41883934418573676,0.7965497945049058,0.020029314001061237
densenet121,max,random_forest,8.341703703703704,0.4816601634579557,98.161633978836,14.915956714146153,9.876627437618986,0.7834950142201451,0.7822482010260027,0.03323829300600286
densenet121,concat,random_forest,8.473187222222224,0.9323446823406369,107.12418966883392,26.899334386430816,10.274738097796149,1.2465739811701035,0.7626268263067,0.05899933979072392
densenet121,concat_abs_diff,random_forest,8.52219716931217,0.9157166938391863,109.56835480535715,29.452354359474416,10.38218586659519,1.3336309222675682,0.7570396195529213,0.06506972901385165
convnext_tiny,mean,random_forest,8.692612281431092,1.0462285029116167,105.85300979974181,22.325029973275548,10.235055273664651,1.0472121775319716,0.7653540893886974,0.048883647481863704
convnext_tiny,concat,random_forest,8.97119345049131,0.8512776475285996,114.01630015521292,16.77631274152556,10.650464695536678,0.7641347553538694,0.7468163168239528,0.038769118935870796
convnext_tiny,concat_abs_diff,random_forest,9.0844511627614,0.8530939688177381,116.15028909504208,19.025252575813063,10.742650738574287,0.8635648233059171,0.7419902743409923,0.04404838440911735
resnet50,concat_abs_diff,random_forest,9.094149851810707,1.057958235479252,121.22154561523993,21.871410082925227,10.968162098459748,0.9596696291698353,0.7311650323938184,0.04825787115922314
resnet50,concat,random_forest,9.108757495590831,0.9943800685152661,117.69868886561434,17.229227684089405,10.820028012297394,0.7910010611333321,0.7390632830189057,0.03750290179624773
resnet50,max,random_forest,9.109815597883598,0.7780948960329241,118.68053829544128,16.78041395973088,10.866654924528918,0.7722363929864318,0.7369392396420251,0.035992952307176265
resnet50,mean,random_forest,9.162992107583772,0.927947929242015,123.65412897911156,19.087319711156564,11.086599017075837,0.8610756143827405,0.7259659163093698,0.04096412911016687
resnet50,mean,svr,9.571546407906325,0.9797628417313502,139.72968193918038,27.754829056492646,11.761389728544327,1.182959674913891,0.6910084993521677,0.05665961525140246
convnext_tiny,max,random_forest,9.57627746031746,0.8883164834896505,126.40661281868506,24.34379526660534,11.189119601493658,1.1000978875334089,0.7204908154820717,0.049394025842278935
resnet50,max,svr,9.900644431193165,0.9963580378574576,147.94229767567487,26.455439344822814,12.11341755440603,1.0988233835711305,0.6727455018845243,0.05356282139542098
resnet50,concat_abs_diff,svr,10.876832778547106,0.8218784692105732,174.81889596167733,26.275317322137408,13.184313867833016,0.9963753289515483,0.6131623900300347,0.05166815719172822
resnet50,concat,svr,10.911302172767227,0.8311376546740756,176.17929236231916,25.510889208445356,13.23826673490658,0.9631127752163686,0.6101343219327836,0.04979862520593996
resnet50,concat_abs_diff,ridge,13.357501032995795,12.700769710644405,5634.100881516996,11112.68141153981,40.413539474169724,63.25224666908457,-11.485526172983084,24.6264472330401
resnet50,concat,ridge,15.444327109200618,16.748021749511622,9789.65572723749,19422.09584405529,51.17685487519569,84.67930828910123,-20.69460862743425,43.040614849634714
resnet50,concat,dummy_mean,19.00249098656178,0.2205824509810068,451.43218217722597,8.290006979289302,21.246038049404024,0.19506250409111817,-0.0011531947955100374,0.001478371574940439
resnet50,mean,dummy_mean,19.00249098656178,0.2205824509810068,451.43218217722597,8.290006979289302,21.246038049404024,0.19506250409111817,-0.0011531947955100374,0.001478371574940439
resnet50,max,dummy_mean,19.00249098656178,0.2205824509810068,451.43218217722597,8.290006979289302,21.246038049404024,0.19506250409111817,-0.0011531947955100374,0.001478371574940439
resnet50,concat_abs_diff,dummy_mean,19.00249098656178,0.2205824509810068,451.43218217722597,8.290006979289302,21.246038049404024,0.19506250409111817,-0.0011531947955100374,0.001478371574940439
convnext_tiny,concat,dummy_mean,19.00249098656178,0.2205824509810068,451.43218217722597,8.290006979289302,21.246038049404024,0.19506250409111817,-0.0011531947955100374,0.001478371574940439
