backbone,fusion,regressor,cv_mae_mean,cv_mae_std,cv_mse_mean,cv_mse_stc,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std
densenet121,concat_abs_diff,elasticnet,7.758720030103412,2.5362742166456704,88.56675772508609,48.8662004791101,9.115725212201777,2.3388697229035507,,
densenet121,max,ridge,7.893494578770229,3.1976114237095152,93.03297311609754,64.3099787041906,9.179989302374764,2.959859713632125,,
densenet121,concat,ridge,7.933298015594483,2.6735656951819773,91.58187373297656,53.38929918326159,9.235025297916426,2.509219296877062,,
densenet121,concat_abs_diff,ridge,7.942990507398332,3.095570377534759,92.65224039708184,60.25919492242566,9.196693734533905,2.8413139126584803,,
convnext_tiny,mean,ridge,8.102404771532331,2.945429359058395,94.68055051609838,56.348058180744204,9.374964997231707,2.6058744821611564,,
densenet121,concat,elasticnet,8.234520857674735,3.57135109291861,102.80469356886064,78.87788521678318,9.540195024483385,3.4335655612909357,,
densenet121,max,elasticnet,8.235944325583322,3.4003216013120046,101.01541475031426,70.03572558966349,9.56108961561157,3.0985448379132534,,
densenet121,mean,elasticnet,8.497399875095912,3.91742000747909,108.88737774751104,88.04519211149423,9.755232839651187,3.704431129296654,,
convnext_tiny,mean,elasticnet,8.666689382280623,3.251633267078766,107.03728928290533,65.95498396736548,9.928657911379208,2.9084431164649565,,
densenet121,mean,ridge,8.670703438350133,4.49942501442827,113.93401134321354,101.75615320396875,9.829706648105336,4.160634393383692,,
convnext_tiny,concat,elasticnet,9.123606872558593,3.2329158733323755,118.42812847761743,66.17184895580026,10.523559393653457,2.7717911475913057,,
convnext_tiny,max,ridge,9.151782158442906,3.280730726331831,115.93207336934067,67.45091596802011,10.376100350940659,2.8755199315166995,,
convnext_tiny,concat,ridge,9.43841130392892,4.06877806072646,126.62401474679677,90.98205594517596,10.656787073100382,3.6134338274551716,,
convnext_tiny,max,elasticnet,9.699905790601457,3.7290021950334538,127.60540669139884,79.11363021883359,10.798749999129228,3.3154796255904384,,
convnext_tiny,concat_abs_diff,elasticnet,9.732117802756173,3.25498737502818,128.47947609275312,67.81850137874603,10.977540774499307,2.8236633363342483,,
convnext_tiny,concat_abs_diff,ridge,9.78230322429112,4.025433604214683,131.47268556366504,90.6666160017205,10.884383919103568,3.6059495649862727,,
resnet50,concat,elasticnet,10.624419825417656,3.5388096149231574,161.37092357181007,83.56976384143654,12.337707711021213,3.0252094157624443,,
